ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1322886357535150081,2020-11-01 13:01:00+00:00,Jodie –– you have my word: I will always stand up for you and the millions of Americans with pre-existing conditions. https://t.co/p7VxJVFf9G,934,2776,19379
1322881072363917312,2020-11-01 12:40:00+00:00,"We need to:

Build bridges, not walls.
Open our arms, not clench our fists.
Focus on the ties that bind us together, not tear each other apart.

We need to be what we are at our best: One America.",3057,10360,84254
1322876039144636417,2020-11-01 12:20:00+00:00,"We have in our hands the ultimate power: the power of the vote.

Don’t let it go to waste. Make your plan to vote today. https://t.co/uoiVh9ZqzI",1983,2773,18064
1322871257902145536,2020-11-01 12:01:00+00:00,Let’s put dogs back in the White House. https://t.co/7pBihksfXT,5866,15828,134428
1322865972819251200,2020-11-01 11:40:00+00:00,"As president, I’ll build an economy that rewards work — not just wealth.",7847,10999,124345
1322757759591436288,2020-11-01 04:30:00+00:00,Vote like your health care is on the ballot — because it is. https://t.co/eoxT07d7QB,1991,3464,26216
1322751468827541510,2020-11-01 04:05:00+00:00,"The issues we’re facing are far bigger than any political party.

It’s why I’ll be a president for all Americans — Democrats, Republicans, and Independents alike — because I believe we must work together if we’re going to get anything done.",2461,5905,47501
1322746435071139840,2020-11-01 03:45:00+00:00,".@BarackObama and I have seen the office of the presidency up close, we know what the job entails, and there's too much at stake to give Donald Trump another four years.

Vote: https://t.co/eoxT07uII9 https://t.co/7imuWqlZSN",2422,3839,31631
1322740143741005825,2020-11-01 03:20:00+00:00,"The words of a president matter. And time and time again, Donald Trump has callously used his to incite violence, stoke the flames of hatred and division, and drive us further apart.

It’s time for it to end.",4717,16202,111671
1322735117387943939,2020-11-01 03:00:01+00:00,"To all the heroes who have served in our armed forces, and the families and caregivers who sacrificed alongside them, I promise I’ll always have your back. https://t.co/TrvHFeMHK1",1702,4553,31182
1322730450293587968,2020-11-01 02:41:29+00:00,"The character of our nation is on the ballot.

Vote: https://t.co/eoxT07d7QB",5636,4628,41291
1322725547504328704,2020-11-01 02:22:00+00:00,We can and will solve the climate crisis — together. https://t.co/3KbdJ5s5Z6,1199,2979,18069
1322721017811345410,2020-11-01 02:04:00+00:00,"The hard truth is that under President Trump, we’ve become weaker, sicker, poorer, more divided, and more violent.",7156,28729,218833
1322714977715785729,2020-11-01 01:40:00+00:00,"Un número récord de latinos son elegibles para votar en esta elección, así que ve a votar para lograr que tu voz se escuche. No dejes que los demás decidan por ti.

https://t.co/eeAbclJjDY https://t.co/vOsq6xw2eX",967,1967,10164
1322709944509124613,2020-11-01 01:20:00+00:00,"Together, we can end the last four years of chaos.

https://t.co/eoxT07d7QB https://t.co/V2EMJnkqSC",2367,3632,17396
1322705178622070784,2020-11-01 01:01:03+00:00,"Vote for equality.
Vote for the planet.
Vote for justice.
Vote for the future.
 
https://t.co/eoxT07d7QB",6059,9529,72873
1322699878196301832,2020-11-01 00:40:00+00:00,"You’re absolutely right, Brayden — no one should ever underestimate the American people. https://t.co/aCsdIWmF62",1334,6105,32170
1322695600106659840,2020-11-01 00:23:00+00:00,President Trump doesn’t care about you. He doesn’t even care about his own supporters. https://t.co/HUbImXyRtY,4468,18257,83996
1322692328591552512,2020-11-01 00:10:00+00:00,"Tonight marks our last end-of-month fundraising deadline — and it’s our most important one yet.

With three days until Election Day, we can’t afford to fall short.

If you’re able, please chip in to help us reach our goal: https://t.co/avjGKglNpD",1234,1115,6973
1322688553650827264,2020-10-31 23:55:00+00:00,Happy Halloween! https://t.co/i2BT7k0xdI,1575,5303,84358
1322685282165026817,2020-10-31 23:42:00+00:00,"I want to extend my prayers and condolences to the Chaldean Assyrian Community this 10th anniversary of Our Lady of Deliverance church massacre in Baghdad. The right to worship is fundamental, and as Americans we should be proud that people from around the world find a home here.",1170,3922,38242
1322679745662881798,2020-10-31 23:20:00+00:00,"Presidents lead by example.

Mask up. https://t.co/eSvTmjmaYK",4185,19187,210683
1322646873081966593,2020-10-31 21:09:22+00:00,"There is too much at stake on Tuesday to sit this election out. Tune in as @BarackObama, @StevieWonder, and I get out the vote in Detroit, Michigan. https://t.co/ihywYiR6lc",1838,2421,13539
1322640738648313856,2020-10-31 20:45:00+00:00,"As president, I will choose: 

Hope, not fear.
Peace, not violence.
Generosity, not greed.
 
I’ll appeal to the best in us, not the worst.",5965,16599,148542
1322631427297476608,2020-10-31 20:08:00+00:00,".@BarackObama already voted, but he knows there's still more work to be done before Election Day.

Sign up to join him: https://t.co/UIiNehABm6 https://t.co/8qgmrxEDny",1893,3634,25042
1322620606098137088,2020-10-31 19:25:00+00:00,President Obama and I left President Trump a playbook on how to deal with pandemics. He flat-out ignored it. And we're suffering every day because of it.,8943,24143,173637
1322613559491284994,2020-10-31 18:57:00+00:00,"If you’re planning to vote early in-person, today is your last day to do so in many states. Head to https://t.co/eoxT07d7QB to find all the information you need to cast your ballot. https://t.co/CL7abyUo5p",948,2881,12080
1322598107809394689,2020-10-31 17:55:36+00:00,"With just three days to go, @BarackObama and I are back together on the campaign trail in Michigan. Tune in. https://t.co/8jqYUvbTz9",2564,3084,18421
